timestamp,download_speed,upload_speed,latency
2023-05-17 20:40:53,503.77,95.78,9.76
2023-05-17 20:41:20,500.85,103.53,8.36
2023-05-17 20:41:49,427.1,104.01,6.17
2023-05-17 20:42:36,499.58,96.09,5.83
2023-05-17 20:43:04,466.74,103.52,6.15
2023-05-17 20:43:32,484.41,96.41,6.34
2023-05-17 20:44:00,451.13,104.04,5.91
2023-05-17 20:44:27,494.36,103.02,5.89
2023-05-17 20:44:55,499.11,98.94,6.37
2023-05-17 20:45:22,478.62,103.88,5.87
2023-05-17 20:45:51,420.98,102.99,11.45
2023-05-17 20:46:19,460.27,95.67,8.3
2023-05-17 20:46:47,474.14,103.56,6.98
2023-05-17 20:47:17,369.17,96.29,6.7
