timestamp,download_speed,upload_speed,latency
2023-05-19 01:37:03,476.33,126.93,17.73
2023-05-19 01:47:21,467.83,131.53,15.19
2023-05-19 01:57:39,494.31,121.0,41.02
2023-05-19 02:08:01,318.16,121.11,26.96
2023-05-19 02:18:20,496.27,118.69,28.64
2023-05-19 02:28:39,422.11,119.44,26.91
2023-05-19 02:39:00,305.85,121.62,32.26
2023-05-19 02:49:20,396.77,120.06,29.45
2023-05-19 02:59:41,364.69,126.4,34.63
2023-05-19 03:10:00,428.62,121.01,34.22
2023-05-19 03:20:22,326.44,120.63,32.7
2023-05-19 03:30:44,328.92,120.11,34.18
2023-05-19 03:41:03,495.94,119.33,31.15
2023-05-19 03:51:25,317.06,119.79,36.76
2023-05-19 04:01:45,423.09,119.98,36.73
2023-05-19 04:12:03,504.13,120.66,36.24
2023-05-19 04:22:22,503.02,121.7,34.6
2023-05-19 04:32:40,503.18,125.74,31.94
2023-05-19 04:42:58,478.11,119.36,29.41
2023-05-19 04:53:17,445.17,130.02,18.43
2023-05-19 05:03:35,510.6,130.6,16.17
2023-05-19 05:13:53,501.92,130.23,23.29
2023-05-19 05:24:10,506.89,131.0,15.77
2023-05-19 05:34:28,512.96,129.29,10.33
2023-05-19 05:44:46,509.64,129.78,14.07
2023-05-19 05:55:04,508.24,129.21,18.74
2023-05-19 06:05:22,506.44,126.06,16.07
2023-05-19 06:15:39,512.82,130.49,16.31
2023-05-19 06:25:57,511.14,129.02,17.22
2023-05-19 06:36:15,504.35,129.91,16.25
2023-05-19 06:46:33,509.91,126.33,16.52
2023-05-19 06:56:51,510.01,131.26,13.16
2023-05-19 07:07:08,511.27,130.92,17.38
2023-05-19 07:17:26,511.4,121.27,14.08
2023-05-19 07:27:44,512.01,129.01,13.37
2023-05-19 07:38:03,462.11,130.76,14.97
2023-05-19 07:48:21,477.92,130.65,15.92
2023-05-19 07:58:39,502.48,128.27,17.48
2023-05-19 08:08:58,498.69,131.22,21.46
2023-05-19 08:19:16,496.4,128.58,16.94
2023-05-19 08:29:35,502.01,127.95,10.5
2023-05-19 08:39:54,499.53,131.12,25.55
2023-05-19 08:50:12,495.57,128.45,19.25
