timestamp,download_speed,upload_speed,latency
2023-05-19 16:46:05,333.43,113.89,20.93
2023-05-19 16:46:37,344.19,112.0,21.69
2023-05-19 16:47:09,374.7,108.33,18.48
2023-05-19 16:47:41,339.9,113.41,20.11
2023-05-19 16:48:14,305.82,116.58,20.14
2023-05-19 16:48:46,365.05,117.06,24.6
2023-05-19 16:49:19,327.47,115.11,16.36
2023-05-19 16:49:49,406.07,126.3,16.98
2023-05-19 16:50:19,403.47,123.55,15.06
2023-05-19 16:50:48,440.68,125.7,14.19
2023-05-19 16:51:17,399.84,127.89,14.92
2023-05-19 16:51:48,371.2,124.45,16.01
